:ID;pageCount:string;title:string;volumeNo:int;publishedYear:int
6310;145-160;An expert survey on kinds, influence factors and documentation of design decisions in practice.;47;2015
6311;523-532;An object oriented approach to lattice gas modeling.;16;2000
6312;861-870;Video IBPster.;19;2003
6313;47-60;Remote sensing big data computing: Challenges and opportunities.;51;2015
6314;99-100;SPEEDUP workshop on distributed computing and high-speed networks.;19;2003
6315;29-43;Architecture of parallel management kernel for PIE64.;10;1994
6316;166-176;Supporting data management on cluster grids.;24;2008
6317;171-178;RT-ROS: A real-time ROS architecture on multi-core processors.;56;2016
6319;251-259;Distributed parallel volume rendering on shared memory systems.;13;1998
6320;675-683;Scalable semantic aware context storage.;56;2016
6321;730-738;CCA-secure ABE with outsourced decryption for fog computing.;78;2018
6322;654-667;Design and implementation of the gLite CREAM job management service.;26;2010
6323;915-926;ANTS: Agents on Networks, Trees, and Subgraphs.;16;2000
6324;502-515;Scalable parallel simulation of dynamical processes on large stochastic Kronecker graphs.;78;2018
6325;195-205;Towards an autonomic performance management approach for a cloud broker environment using a decomposition-coordination based methodology.;54;2016
6326;1085-1100;Computational and data Grids in large-scale science and engineering.;18;2002
6327;47-57;Design and hardware implementation of a security-enhanced elliptic curve cryptography based lightweight authentication scheme for smart grid communications.;84;2018
6328;353-364;An AI approach to automate the preliminary design phase of electronic equipment for satellites.;7;1992
6329;849-859;Cyber security framework for Internet of Things-based Energy Internet.;93;2019
6330;647-655;234Compositor: A flexible parallel image compositing framework for massively parallel visualization environments.;82;2018
6331;1-2;Recent advances in Scalable Workflow Enactment Engines and Technologies.;46;2015
6332;483-491;Buffer management in wormhole-routed torus multicomputer networks.;16;2000
6333;48-54;A grid-based approach for enterprise-scale data mining.;23;2007
6334;451-465;Biologically motivated computationally intensive approaches to image pattern recognition.;11;1995
6335;679-685;Leakage resilient ID-based proxy re-encryption scheme for access control in fog computing.;87;2018
6336;920-928;Video transcoding in a Grid network with User Controlled LightPaths.;22;2006
6337;291-306;Two-factor authentication for trusted third party free dispersed storage.;90;2019
6338;82-98;Enabling cost-aware and adaptive elasticity of multi-tier cloud applications.;32;2014
6339;520-527;A new light-based solution to the Hamiltonian path problem.;29;2013
6340;77-87;Composing, execution and sharing of multiscale applications.;53;2015
6341;180-194;An inter-cloud bridge system for heterogeneous cloud platforms.;54;2016
6342;462-470;Approaching cardiac modeling challenges to computer science with CellML-based web tools.;26;2010
6343;478-491;FastDesk: A remote desktop virtualization system for multi-tenant.;81;2018
6344;525-526;Infrastructure and Network-aware Grids and Service Oriented Architectures.;28;2012
6345;489-499;Efficient scheduling of MPI applications on networks of workstations.;13;1998
6346;856-861;High-definition multimedia for multiparty low-latency interactive communication.;22;2006
6347;510-516;A Resourceomic Grid for bioinformatics.;23;2007
6349;569-579;Performance effective pre-scheduling strategy for heterogeneous grid systems in the master slave paradigm.;23;2007
6350;468-473;Simulation framework of ubiquitous network environments for designing diverse network robots.;76;2017
6351;207-216;Context reasoning using extended evidence theory in pervasive computing environments.;26;2010
6352;118-127;Offloading mobile data traffic for QoS-aware service provision in vehicular cyber-physical systems.;61;2016
6353;215-226;Eager scheduling with lazy retry in multiprocessors.;17;2000
6354;1309-1317;Hybrid modelling and simulation of huge crowd over a hierarchical Grid architecture.;29;2013
6355;685-692;Large-scale functional MRI study on a production grid.;26;2010
6356;133-156;The establishment of a pilot telemedical information society.;15;1999
6357;39-54;Using formal methods to cultivate trust in smart card operating systems.;13;1997
6358;951-959;Performance of N-body codes on hybrid machines.;17;2001
6359;555-564;Tuning linear algebra for energy efficiency on multicore machines by adapting the ATLAS library.;82;2018
6360;199-208;Active and logistical networking for grid computing: the e-Toile architecture.;21;2005
6361;89-101;Greening cloud data centers in an economical way by energy trading with power grid.;78;2018
6362;43-57;A hybrid multi criteria decision method for cloud service selection from Smart data.;93;2019
6363;451-459;Graph partitioning algorithms for optimizing software deployment in mobile cloud computing.;29;2013
6364;191-201;A topology-aware load balancing algorithm for clustered hierarchical multi-core machines.;30;2014
6365;51-58;Three-level performance optimization for heterogeneous systems based on software prefetching under power constraints.;86;2018
6366;426-433;Knowledge graph embedding via reasoning over entities, relations, and text.;91;2019
6367;46-58;Exascale design space exploration and co-design.;30;2014
6368;1145-1155;An almost linear-time algorithm for trapezoidation of GIS polygons.;20;2004
6369;611-619;Adaptive parallel I/O scheduling algorithm for multiprogrammed systems.;22;2006
6370;2239-2251;Using model checking to analyze the system behavior of the LHC production grid.;29;2013
6371;115-122;A parallel version of the phase space evolution model.;11;1995
6372;464-477;Comparing time series with machine learning-based prediction approaches for violation management in cloud SLAs.;89;2018
6373;265-285;A parallel self-organizing overlapping community detection algorithm based on swarm intelligence for large scale complex networks.;89;2018
6374;764-775;Benchmarking parallel compilers: A UPC case study.;22;2006
6375;494-505;Data driven business rule generation based on fog computing.;89;2018
6376;288-304;Towards an asynchronous aggregation-capable watermark for end-to-end protection of big data streams.;72;2017
6377;430-439;Temporal people-to-people recommendation on social networks with sentiment-based matrix factorization.;78;2018
6378;149-160;A task-level adaptive MapReduce framework for real-time streaming data in healthcare applications.;43;2015
6379;291-292;Special section: Large-scale system performance modeling and analysis.;22;2006
6380;795-811;Plug-ins, layered services and behavioral objects: Application programming styles in the Harness metacomputing system.;17;2001
6381;27-39;A stacking model using URL and HTML features for phishing webpage detection.;94;2019
6382;1345-1355;Generating efficient derivative code with TAF: Adjoint and tangent linear Euler flow around an airfoil.;21;2005
6383;512-534;The Business Intelligence as a Service in the Cloud.;37;2014
6384;572-582;XSACd - Cross-domain resource sharing & access control for smart environments.;80;2018
6385;1298-1311;Monitoring cache behavior on parallel SMP architectures and related programming tools.;21;2005
6386;300-310;Validation of the learning ecosystem metamodel using transformation rules.;91;2019
6387;1171-1191;User hints: a framework for interactive optimization.;21;2005
6388;198-209;Energy optimization of parallel programs in a heterogeneous system by combining processor core-shutdown and dynamic voltage scaling.;92;2019
6389;84-91;Distributed data mining in grid computing environments.;23;2007
6390;569-575;Sensor grid applications in patient monitoring.;26;2010
6391;9-20;An extensible information model for shared scientific data collections.;16;1999
6392;1337-1353;Functional networks for B-spline surface reconstruction.;20;2004
6393;39-44;Cooperative R&D of information technologies between the government and private sector in Japan.;2;1986
6394;176-189;An architecture for automatic service composition in MANET using a distributed service graph.;34;2014
6395;605-625;Improving real-time collaboration with highlighting.;20;2004
6396;235-243;Using argumentation to manage users' preferences.;81;2018
6397;275-279;High performance AAA architecture for massive IPv4 networks.;23;2007
6398;41-53;Inexact Quasi-Newton methods for sparse systems of nonlinear equations.;18;2001
6399;1383-1394;A hybrid model of Internet of Things and cloud computing to manage big data in health services applications.;86;2018
6400;290-303;Subevents detection through topic modeling in social media posts.;93;2019
6401;893-899;Deterministic approximations for stochastic processes in population biology.;17;2001
6402;633-646;Using clouds to scale grid resources: An economic model.;28;2012
6403;753-769;Abstract machine construction through operational semantics refinements.;16;2000
6404;1051-1062;ATLAS Canada lightpath data transfer trial.;19;2003
6405;1134-1145;CHIS: A big data infrastructure to manage digital cultural items.;86;2018
6406;342-354;A computational model to support in-network data analysis in federated ecosystems.;80;2018
6407;1700-1708;Autonomic cloud resource sharing for intercloud federations.;29;2013
6408;1116-1126;Resource federation in grid using automated intelligent agent negotiation.;26;2010
6409;921-929;Intermittent collective behavior in totalistic cellular automata with high connectivity.;18;2002
6410;1267-1274;Computational science and engineering: a new master's program at the Technische Universität München.;19;2003
6411;402-415;Exploring decentralized dynamic scheduling for grids and clouds using the community-aware scheduling algorithm.;29;2013
6412;399-407;On a new class of splitting type iterative methods.;20;2004
6413;1786-1794;Cost minimization for computational applications on hybrid cloud infrastructures.;29;2013
6414;434-449;An approach to develop the smart health using Internet of Things and authentication based on biometric technology.;91;2019
6415;1031-1039;Global Telescience featuring IPv6 at iGrid2002.;19;2003
6416;173-182;Research on access control model of social network based on distributed logic.;83;2018
6417;561-572;Web-based micro-world simulation for emergency management training.;17;2001
6418;463-478;Performance of a distributed architecture for query processing on workstation clusters.;19;2003
6419;314-328;A novel communication system approach for a Smart City based on the human nervous system.;76;2017
6420;23-35;MECOM: Live migration of virtual machines by adaptively compressing memory pages.;38;2014
6421;678-680;Special section: Medical imaging on grids.;26;2010
6422;257-278;Visual terminals and user interfaces.;1;1985
6423;129-144;Multi-Capacity Bin Packing with Dependent Items and its Application to the Packing of Brokered Workloads in Virtualized Environments.;72;2017
6424;219-240;Advanced Resource Connector middleware for lightweight computational Grids.;23;2007
6425;704-716;A parallel solution for scheduling of real time applications on grid environments.;25;2009
6426;183-192;Embedding a 'Treecode' on a MIMD parallel computer using a domain decomposition paradigm.;11;1995
6427;1221-1230;A numerically reliable approach to robust pole assignment for descriptor system.;19;2003
6428;180-186;Efficient fully homomorphic encryption from RLWE with an extension to a threshold encryption scheme.;36;2014
6429;79-81;ARMCO: Advanced topics in resource management for ubiquitous cloud computing: An adaptive approach.;54;2016
6430;707-714;A cross layer protocol for traffic management in Social Internet of Vehicles.;82;2018
6431;737-750;Optimal power/rate trade-off for internet of multimedia things lifetime maximization under dynamic links capacity.;93;2019
6432;24-41;Cloud computing adoption framework: A security framework for business clouds.;57;2016
6433;224-236;The design and implementation of OGSA-DQP: A service-based distributed query processor.;25;2009
6434;689-697;A source location protection protocol based on dynamic routing in WSNs for the Social Internet of Things.;82;2018
6435;1185-1195;Land-use adjustment with a modified soil loss evaluation method supported by GIS.;20;2004
6436;319-328;Classifying online Job Advertisements through Machine Learning.;86;2018
6437;309-313;A parallel multigrid code with a fast vectorized ILU-relaxation.;10;1994
6438;131-136;Virtual Medical Worlds Magazine - A Euromed on-line information building block for HPCN related telemedicine.;14;1998
6439;13-21;Towards heart sound classification without segmentation via autocorrelation feature and diffusion maps.;60;2016
6440;613-626;A Sybil attack detection scheme for a forest wildfire monitoring application.;80;2018
6441;1142-1156;Knowledge-aware Proactive Nodes Selection approach for energy management in Internet of Things.;92;2019
6442;836-850;Minimizing SLA violation and power consumption in Cloud data centers using adaptive energy-aware algorithms.;86;2018
6443;491-498;A step towards large scale parallelism: Building a parallel computing environment from heterogenous resources.;11;1995
6444;107-115;Research on data fusion algorithm and anti-collision algorithm based on internet of things.;85;2018
6445;16-27;Security and trust issues in Fog computing: A survey.;88;2018
6446;777-790;Influence maximization in large social networks: Heuristics, models and parameters.;89;2018
6447;138-147;Recovery for overloaded mobile edge computing.;70;2017
6448;112-125;Multimodal biometric Identity Based Encryption.;80;2018
6449;37-53;An efficient recovery scheme for fault-tolerant mobile computing systems.;19;2003
6450;751-764;VM reassignment in hybrid clouds for large decentralised companies: A multi-objective challenge.;79;2018
6451;936-952;Resource requirement prediction using clone detection technique.;29;2013
6452;748-759;Autonomous service level agreement negotiation for service composition provision.;23;2007
6453;395-408;Towards a single model of efficient computation in real parallel machines.;8;1992
6454;321-334;Pareto frontier for job execution and data transfer time in hybrid clouds.;37;2014
6455;667-680;A systematic approach to the integration of overlapping partitions in service-oriented data grids.;27;2011
6456;1-11;A model to predict the optimal performance of the Hierarchical Data Grid.;26;2010
6457;311-321;QoS-aware automatic syntactic service composition problem: Complexity and resolution.;80;2018
6458;945-949;A non-linear lattice-Boltzmann model for ideal miscible fluids.;20;2004
6459;165-174;Discovery and representation of the preferences of automatically detected groups: Exploiting the link between group modeling and clustering.;64;2016
6460;769-785;Metacomputing in practice: a distributed compute server for pharmaceutical industry.;15;1999
6462;728-738;Monte Carlo simulation on heterogeneous distributed systems: A computing framework with parallel merging and checkpointing strategies.;29;2013
6463;237-243;Knowledge engineering and CAD.;1;1985
6464;995-1004;The Java based cellular automata simulation system--JCASim.;18;2002
6465;339-354;CoMe4ACloud: An end-to-end framework for autonomic Cloud systems.;86;2018
6466;543-557;Performance study and enhancement of multichannel access methods in the future generation VHT WLAN.;79;2018
6467;108-117;Mixed scheduling with heterogeneous delay constraints in cyber-physical systems.;61;2016
6468;563-570;Adaptive scheduling strategy optimizer for parallel rolling bearing simulation.;16;2000
6469;28-34;Dynamic workload balancing of parallel applications with user-level scheduling on the Grid.;25;2009
6470;102-109;Software design for finite difference schemes based on index notation.;22;2006
6471;374-382;Optimal deep learning model for classification of lung cancer on CT images.;92;2019
6472;291-304;A performance comparison of current HPC systems: Blue Gene/Q, Cray XE6 and InfiniBand systems.;30;2014
6473;429-441;Thwarting DDoS attacks in grid using information divergence.;29;2013
6474;7-18;FEM/FVM calculations of compressible flows on a Meiko system.;11;1995
6475;1092-1103;Interoperability of BOINC and EGEE.;26;2010
6476;327-335;Lessons learned from implementing BSP.;13;1998
6477;739-750;G-Hadoop: MapReduce across distributed data centers for data-intensive computing.;29;2013
6478;1075-1104;Performance evaluation of load balancing strategies for approximate string matching application on an MPI cluster of heterogeneous workstations.;19;2003
6479;417-429;CLAPP: A self constructing feature clustering approach for anomaly detection.;74;2017
6480;139-156;Energy-aware and multi-resource overload probability constraint-based virtual machine dynamic consolidation method.;80;2018
6481;73-75;Editorial for FGCS special issue: Big Data in the cloud.;65;2016
6482;147-158;Surgical training on the web.;17;2000
6483;444-459;Resource management for bursty streams on multi-tenancy cloud environments.;55;2016
6484;455-461;Computational tasks in computer-assisted transbronchial biopsy.;26;2010
6485;815-824;Evaluating the VLAM-G toolkit on the DAS-2.;19;2003
6486;21-28;A method for interoperable digital libraries and data repositories.;16;1999
6487;49-61;Locality-aware and load-balanced static task scheduling for MapReduce.;90;2019
6488;24-35;Overlay network resource allocation using a decentralized market-based approach.;28;2012
6489;468-478;Parallel online event calculus learning for complex event recognition.;94;2019
6490;165-179;Self-managing cloud-native applications: Design, implementation, and experience.;72;2017
6491;474-480;DPM: A novel distributed large-scale social graph processing framework for link prediction algorithms.;78;2018
6493;835-837;Special section: Bio-inspired algorithms for distributed systems.;26;2010
6494;417-430;A novel optimized vertical handover framework for seamless networking integration in cyber-enabled systems.;79;2018
6495;499-509;Associative retrieval in spatial big data based on spreading activation with semantic ontology.;76;2017
6496;352-365;SemPI: A semantic framework for the collaborative construction and maintenance of a shared dictionary of performance indicators.;54;2016
6497;977-988;Scheduling real-time DAGs in heterogeneous clusters by combining imprecise computations and bin packing techniques for the exploitation of schedule holes.;28;2012
6498;29-46;Forensic engineering for resolving ownership problem of reusable IP core generated during high level synthesis.;80;2018
6499;132-143;A tree search algorithm for low multiplicative complexity logic design.;83;2018
6500;109-115;Information-theoretical secure verifiable secret sharing with vector space access structures over bilinear groups and its applications.;52;2015
6501;879-888;Feature-based Compositing Memory Networks for Aspect-based Sentiment Classification in Social Internet of Things.;92;2019
6502;347-360;Energy-efficient and traffic-aware service function chaining orchestration in multi-domain networks.;91;2019
6503;211-219;A dynamic execution time estimation model to save energy in heterogeneous multicores running periodic tasks.;56;2016
6504;51-62;Wireless visual sensor networks for smart city applications: A relevance-based approach for multiple sinks mobility.;76;2017
6505;287-301;PREVISE: A knowledge-based system to support the preparation and verification of space operations procedures.;9;1993
6506;172-186;Scalable regular pattern mining in evolving body sensor data.;75;2017
6507;859-866;Privacy-preserved big data analysis based on asymmetric imputation kernels and multiside similarities.;78;2018
6508;200-205;TOLA: Topic-oriented learning assistance based on cyber-physical system and big data.;75;2017
6509;321-328;QUATRAIN - A design support tool and a data processing sequence supervisor.;9;1993
6510;355-361;A personalized authoritative user-based recommendation for social tagging.;86;2018
6511;1187-1191;Intelligent algorithms and standards for interoperability in Internet of Things.;92;2019
6512;363-372;Vehicular datacenter modeling for cloud computing: Considering capacity and leave rate of vehicles.;88;2018
6513;327-341;Mobile Couriers' selection for the Smart-grid in Smart-cities' Pervasive Sensing.;82;2018
6514;119-125;Evaluation of KL1 and the inference machine.;9;1993
6515;237-256;Towards a general model of the multi-criteria workflow scheduling on the grid.;25;2009
6516;53-61;An implementation of a portable instrumented communication library using CS tools.;9;1993
6517;13-21;A data-check based distributed storage model for storing hot temporary data.;73;2017
6518;582-592;Challenges in wireless communication for connected sensors and wearable devices used in sport biofeedback applications.;92;2019
6519;293-301;AIM: Activation increment minimization strategy for preventing bad information diffusion in OSNs.;94;2019
6520;249-252;Using full message exchange for probabilistic clock synchronization (extended abstract).;8;1992
6521;250-268;HEPart: A balanced hypergraph partitioning algorithm for big data applications.;83;2018
6522;374-380;SOLAR: Social Link Advanced Recommendation System.;26;2010
6523;1097-1111;A task routing approach to large-scale scheduling.;29;2013
6524;289-303;DEXIN: A fast content-based multi-attribute event matching algorithm using dynamic exclusive and inclusive methods.;68;2017
6525;876-883;Automatic replication of WSRF-based Grid services via operation providers.;25;2009
6526;996-1008;A data integration platform for patient-centered e-healthcare and clinical decision support.;92;2019
6527;739-752;Privacy-preserving deduplication of encrypted data with dynamic ownership management in fog computing.;78;2018
6528;593-603;Design and experimental performance analysis of a B.A.T.M.A.N.-based double Wi-Fi interface mesh network.;92;2019
6529;59-73;Care HPS: A high performance simulation tool for parallel and distributed agent-based modeling.;68;2017
6530;776-786;Group-based adaptive result certification mechanism in Desktop Grids.;26;2010
6531;526-536;Workforce-efficient consensus in crowdsourced transcription of biocollections information.;56;2016
6532;233-243;Competent systems: The only future for inference-making computers.;2;1986
6533;350-353;Cybermatics: Advanced Strategy and Technology for Cyber-Enabled Systems and Applications.;79;2018
6534;1522-1532;Hybrid P2P schemes for remote terrain interactive visualization systems.;29;2013
6535;227-237;GHolo: a multiparadigm model oriented to development of grid systems.;21;2005
6536;229-239;Design and evaluation of a multi-user virtual audio chat.;19;2003
6537;421-429;Proactive user-centric secure data scheme using attribute-based semantic access controls for mobile clouds in financial industry.;80;2018
6538;385-392;Cloud security engineering: Early stages of SDLC.;74;2017
6539;351-361;Trapper: A graphical programming environment for parallel systems.;11;1995
6540;65-74;Multi-application smart cards and encrypted data, processing.;13;1997
6541;203-216;Programming cellular automata algorithms on parallel computers.;16;1999
6542;263-273;Aligning ontology-based development with service oriented systems.;32;2014
6543;1336-1343;Scheduling jobs on computational grids using a fuzzy particle swarm optimization algorithm.;26;2010
6544;88-96;Fault-tolerant routing based on approximate directed routable probabilities for hypercubes.;37;2014
6545;943-955;Computationally efficient privacy preserving anonymous mutual and batch authentication schemes for vehicular ad hoc networks.;78;2018
6546;37-53;Software architecture constraint reuse-by-composition.;61;2016
6547;147-162;HyperFlow: A model of computation, programming approach and enactment engine for complex distributed workflows.;55;2016
6548;639-657;A cellular automaton methodology for the simulation of integrated circuit fabrication processes.;18;2002
6549;259-271;An empirical method for modelling and simulating some complex macroscopic phenomena by cellular automata.;16;1999
6550;191-201;Structuring connections between content delivery servers groups.;24;2008
6551;71-80;Biometric touchstroke authentication by fuzzy proximity of touch locations.;86;2018
6552;147-155;Making virtual reality useful: A report on immersive applications at Iowa State University.;14;1998
6553;281-290;Decentralised application placement.;21;2005
6554;31-38;VLSI research in the U.S.A.;1;1984
6555;132-143;Multi-objective method for divisible load scheduling in multi-level tree network.;54;2016
6556;163-164;New Horizons of Cloud Computing.;55;2016
6557;769-782;An analysis of security systems for electronic information for establishing secure internet of things environments: Focusing on research trends in the security field in South Korea.;82;2018
6558;65-76;Smart urban planning using Big Data analytics to contend with the interoperability in Internet of Things.;77;2017
6559;353-361;Secure hybrid-indexed search for high efficiency over keyword searchable ciphertexts.;55;2016
6560;1378-1394;Digital droplets: Microsoft SkyDrive forensic data remnants.;29;2013
6561;104-125;System modelling and performance evaluation of a three-tier Cloud of Things.;70;2017
6562;114-123;The OptIPortal, a scalable visualization, storage, and computing interface device for the OptiPuter.;25;2009
6563;150-162;An efficient online direction-preserving compression approach for trajectory streaming data.;68;2017
6564;496-509;Correlation power analysis of modes of encryption in AES and its countermeasures.;83;2018
6565;889-914;MAX-MIN Ant System.;16;2000
6566;139-149;Insights from empirical studies of the software design process.;7;1992
6567;190-198;Maximizing the performance of scientific data transfer by optimizing the interface between parallel file systems and advanced research networks.;79;2018
6568;94-108;Profile-based application assignment for greener and more energy-efficient data centers.;67;2017
6569;816-824;StReD: A quality of security framework for storage resources in Data Grids.;23;2007
6570;311-316;A perspective of OSI standardization: Object-oriented architecture for distributed processing.;7;1992
6571;687-698;WAMM in the framework of graphical user interfaces for metacomputing management.;15;1999
6572;39-48;Convergence agent model for developing u-healthcare systems.;35;2014
6573;94-96;Distributed solutions for ubiquitous computing and ambient intelligence.;34;2014
6574;582-592;A unified face identification and resolution scheme using cloud computing in Internet of Things.;81;2018
6575;409-416; Reprint of   LBBSRT: An efficient SDN load balancing scheme based on server response time  . ;80;2018
6576;627-631;Supporting the application of Situated Cellular Agents in non-uniform spaces.;21;2005
6577;964-974;Efficient cache resource aggregation using adaptive multi-level exclusive caching policies.;86;2018
6578;669-678;The logically instantaneous communication mode: a communication abstraction.;17;2001
6579;163-170;Independent checkpointing in a heterogeneous grid environment.;28;2012
6580;599-611;Why linked data is not enough for scientists.;29;2013
6581;315-325;Parallel iterative solvers for irregular sparse matrices in High Performance Fortran.;13;1998
6582;458-478;Modeling affective character network for story analytics.;92;2019
6583;285-286;AI and space.;9;1993
6584;528-541;Exploring the potential of a mobile eye tracker as an intuitive indoor pointing device: A case study in cultural heritage.;81;2018
6585;550-557;Methods for evaluating volunteers' contributions in a deforestation detection citizen science project.;56;2016
6586;1152-1163;Decreasing power consumption with energy efficient data aware strategies.;29;2013
6587;505-519;Adaptive scheduling under memory constraints on non-dedicated computationalfarms.;19;2003
6588;51-60;A self-adaptive scheduling algorithm for reduce start time.;43;2015
6589;551-561;The Internet Backplane Protocol: a study in resource sharing.;19;2003
6590;521-532;SMiLE: an integrated, multi-paradigm software infrastructure for SCI-basedclusters.;19;2003
6591;76-85;Multi-key privacy-preserving deep learning in cloud computing.;74;2017
6592;665-676;Managing the operator ordering problem in parallel databases.;16;2000
6593;66-77;OPTIMIS: A holistic approach to cloud service provisioning.;28;2012
6594;544-553; Dynamic QoS-aware data replication in grid environments based on data   importance  . ;28;2012
6595;157-171;Descriptive dynamic logic and its application to reflective architectures.;12;1996
6596;721-726;The Maple package SyNRAC and its application to robust control design.;23;2007
6597;63-72;NAUTA: A network administration utility for transputer architectures.;9;1993
6598;587-589;Special Section: Grid and Pervasive Computing 2009.;27;2011
6599;460-471;Performance evaluation of measurement data acquisition mechanisms in a distributed computing environment integrating remote laboratory instrumentation.;29;2013
6600;190-200;Privacy-preserving multi-channel communication in Edge-of-Things.;85;2018
6601;335-337;Special issue on eScience infrastructure and applications.;36;2014
6602;854-860;Decentralized approach to resource availability prediction using group availability in a P2P desktop grid.;28;2012
6603;211-219;Experience of parallel AI programming with parallel Lisp.;7;1992
6604;123-131;A multi-dimensional job scheduling.;54;2016
6605;39-48;An advanced decision model enabling two-way initiative offloading in edge computing.;90;2019
6606;983-997;Grid-enabled particle physics event analysis: experiences using a 10 Gb, high-latency network for a high-energy physics application.;19;2003
6607;14-25;A resource elasticity framework for QoS-aware execution of cloud applications.;37;2014
6608;1056-1067;Vector quantization: a weighted version for time-series forecasting.;21;2005
6609;584-594;Effective and efficient similarity search in scientific workflow repositories.;56;2016
6610;171-176;Reliable software technologies and communication middleware: A perspective and evolution directions for cyber-physical system, mobility, and cloud computing.;71;2017
6611;758-776;Cooperative trust relaying and privacy preservation via edge-crowdsourcing in social Internet of Things.;92;2019
6612;277-289;The PERMIS X.509 role based privilege management infrastructure.;19;2003
6613;16-31;Web object-based storage management in proxy caches.;22;2006
6614;631-643;RCT: A distributed tree for supporting efficient range and multi-attribute queries in grid computing.;24;2008
6615;846-856;Exploring robustness management of social internet of things for customization manufacturing.;92;2019
6616;1017-1029;Towards autonomic detection of SLA violations in Cloud infrastructures.;28;2012
6617;235-242;CoreFlow: Enriching Bro security events using network traffic monitoring data.;79;2018
6618;373-380;Two-level grammars for data conversions.;5;1990
6619;40-50;Key based data analytics across data centers considering bi-level resource provision in cloud computing.;62;2016
6620;672-686;The Grid Workloads Archive.;24;2008
6621;278-288;A survey of anomaly detection techniques in financial domain.;55;2016
6622;119-126;Using general master equation for feature fusion.;82;2018
6623;108-123;Adaptive service function selection for Network Function Virtualization networking.;91;2019
6624;148-162;Edge caching with mobility prediction in virtualized LTE mobile networks.;70;2017
6625;56-75;A user friendly mutual authentication and key agreement scheme for wireless sensor networks using chaotic maps.;63;2016
6626;461-474;Changing technologies of HPC.;12;1997
6627;19-26;Benchmarking the POMPC compiler on the Connection Machine CM-2.;11;1995
6628;732-742;A deductive system for proving workflow models from operational procedures.;28;2012
6629;610-619;Data-driven clustering for multimedia communication in Internet of vehicles.;94;2019
6630;119-135;Dynamic service selection with QoS constraints and inter-service correlations using cooperative coevolution.;76;2017
6631;176-190;A lightweight plug-and-play elasticity service for self-organizing resource provisioning on parallel applications.;78;2018
6632;694-700;Macroeconomics based Grid resource allocation.;24;2008
6633;30-38;Optimization of dynamic spot-checking for collusion tolerance in grid computing.;86;2018
6634;425-430;An insertion-deletion-compensation model with Poisson process for scale-free networks.;83;2018
6635;155-161;Steering of sequential jobs with a distributed shared memory based model for online steering.;26;2010
6636;407-419;MPI-DDL: A distributed-data library for MPI.;12;1997
6637;67-77;From raw data to WWW compatible visualization and manipulation: Imaging human electric potentials.;14;1998
6638;59-60;Cloud Computing: Security, Privacy and Practice.;52;2015
6639;71-92;Optimal implementation of and-or parallel Prolog.;10;1994
6640;120-134;Cloud-based adaptive compression and secure management services for 3D healthcare data.;43;2015
6641;353-363;Parallelization of NAS benchmarks for shared memory multiprocessors.;15;1999
6642;177-187;Support high-order tensor data description for outlier detection in high-dimensional big sensor data.;81;2018
6643;166-176;A quick-response framework for multi-user computation offloading in mobile cloud computing.;81;2018
6644;59-69;Development of a model-based intelligent training system.;5;1989
6645;210-224;An adaptive and configurable protection framework against android privilege escalation threats.;92;2019
6646;1621-1630;Distance-aware bloom filters: Enabling collaborative search for efficient resource discovery.;29;2013
6647;1969-1980;Towards greener data centers with storage class memory.;29;2013
6648;833-848;SpEED-IoT: Spectrum aware energy efficient routing for device-to-device IoT communication.;93;2019
6649;1871-1884;Black box scheduling for resource intensive virtual machine workloads with interference models.;29;2013
6650;411-417;A new technique for reducing the cost of integral equations in axisymmetric cases.;10;1994
6651;137-141;OptIPuter: Enabling advanced applications with novel optical control planes and backplanes.;25;2009
6652;384-390;Tag localization in a two-dimensional RFID tag matrix.;76;2017
6653;36-50;Elastic Business Process Management: State of the art and open challenges for BPM in the cloud.;46;2015
6654;297-307;An efficient multi-party scheme for privacy preserving collaborative filtering for healthcare recommender system.;86;2018
6655;337-348;Robot Cloud: Bridging the power of robotics and cloud computing.;74;2017
6656;764-775;Fog-cloud based cyber-physical system for distinguishing, detecting and preventing mosquito borne diseases.;88;2018
6657;717-726;VMSLab-G: a virtual laboratory prototype for molecular science on the Grid.;20;2004
6659;1251-1258;Investigation on the injuries of drivers and copilots in rear-end crashes between trucks based on real world accident data in China.;86;2018
6660;22-34;Minimizing makespan for arbitrary size jobs with release times on P-batch machines with arbitrary capacities.;67;2017
6661;1312-1321;Routing direction determination in regular networks based on configurable circuits.;21;2005
6662;397-408;Colorectal tumour simulation using agent based modelling and high performance computing.;67;2017
6663;91-96;The road to multimedia.;7;1991
6664;999-1008;A reference architecture for scientific virtual laboratories.;17;2001
6665;113-128;Cost minimization for deadline-constrained bag-of-tasks applications in federated hybrid clouds.;71;2017
6666;622-632;A high performance suite of data services for grids.;26;2010
6667;192-201;GAMESH: A grid architecture for scalable monitoring and enhanced dependable job scheduling.;71;2017
6668;443-451;Government affairs service platform for smart city.;81;2018
6669;1047-1055;An energy consumption model for virtualized office environments.;27;2011
6670;26-46;Shortest-linkage-based parallel hierarchical clustering on main-belt moving objects of the solar system.;34;2014
6671;208-219;Enabling fast failure recovery in shared Hadoop clusters: Towards failure-aware scheduling.;74;2017
6672;968-976;Definition, modelling and simulation of a grid computing scheduling system for high throughput computing.;23;2007
6673;381-388;Discovering phishing target based on semantic link network.;26;2010
6674;1931-1942;Characterizing workflow-based activity on a production e-infrastructure using provenance data.;29;2013
